x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.1,1998-02-01 00:00:00,AB,1998,2,1,-8.9,E,-15.3,E,-2.4,E,,,,,0,,,,,,,,0,E,26.9,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.2,1998-02-02 00:00:00,AB,1998,2,2,-8.9,E,-15.3,E,-2.4,E,,,,,0,,,,,,,,0,E,26.9,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.3,1998-02-03 00:00:00,AB,1998,2,3,-9.4,E,-14.9,E,-3.8,E,,,,,0,,,,,,,,0,E,27.4,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.4,1998-02-04 00:00:00,AB,1998,2,4,-2.7,E,-6,E,0.7,E,,,,,0,,,,,,,,0,E,20.7,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.5,1998-02-05 00:00:00,AB,1998,2,5,-2.5,E,-6,E,1.1,E,,,,,0,,,,,,,,0,E,20.5,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.6,1998-02-06 00:00:00,AB,1998,2,6,-5.5,E,-8.6,E,-2.4,E,,,,,0,,,,,,,,0,E,23.5,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.7,1998-02-07 00:00:00,AB,1998,2,7,-4.2,E,-8.3,E,0,E,,,,,0,,,,,,,,0,E,22.2,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.8,1998-02-08 00:00:00,AB,1998,2,8,-5,E,-9,E,-1,E,,,,,0,,,,,,,,0,E,23,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.9,1998-02-09 00:00:00,AB,1998,2,9,-3.4,E,-7.9,E,1.1,E,,,,,0,,,,,,,,0,E,21.4,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.10,1998-02-10 00:00:00,AB,1998,2,10,-7,E,-9.4,E,-4.6,E,,,,,0,,,,,,,,0,E,25,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.11,1998-02-11 00:00:00,AB,1998,2,11,-6.5,E,-10.1,E,-2.8,E,,,,,0,,,,,,,,0,E,24.5,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.12,1998-02-12 00:00:00,AB,1998,2,12,-5.7,E,-8.6,E,-2.8,E,,,,,0,,,,,,,,0,E,23.7,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.13,1998-02-13 00:00:00,AB,1998,2,13,-4.1,E,-6.8,E,-1.4,E,,,,,0,,,,,,,,0,E,22.1,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.14,1998-02-14 00:00:00,AB,1998,2,14,-8.2,E,-12.5,E,-3.8,E,,,,,0,,,,,,,,0,E,26.2,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.15,1998-02-15 00:00:00,AB,1998,2,15,-8.8,E,-13.7,E,-3.8,E,,,,,0,,,,,,,,0,E,26.8,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.16,1998-02-16 00:00:00,AB,1998,2,16,-8.1,E,-13.7,E,-2.4,E,,,,,0,,,,,,,,0,E,26.1,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.17,1998-02-17 00:00:00,AB,1998,2,17,-9.6,E,-15.3,E,-3.8,E,,,,,0,,,,,,,,0,E,27.6,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.18,1998-02-18 00:00:00,AB,1998,2,18,-6.3,E,-9.4,E,-3.1,E,,,,,0,,,,,,,,0,E,24.3,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.19,1998-02-19 00:00:00,AB,1998,2,19,-3.6,E,-7.1,E,0,E,,,,,0,,,,,,,,0,E,21.6,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.20,1998-02-20 00:00:00,AB,1998,2,20,-2.5,E,-4.9,E,0,E,,,,,0,,,,,,,,0,E,20.5,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.21,1998-02-21 00:00:00,AB,1998,2,21,-4.5,E,-6.8,E,-2.1,E,,,,,0,,,,,,,,0,E,22.5,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.22,1998-02-22 00:00:00,AB,1998,2,22,-5.2,E,-10.1,E,-0.3,E,,,,,0.8,E,,,,,,,0,E,23.2,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.23,1998-02-23 00:00:00,AB,1998,2,23,-9.6,E,-15.3,E,-3.8,E,,,,,0,,,,,,,,0,E,27.6,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.24,1998-02-24 00:00:00,AB,1998,2,24,-10.7,E,-17.9,E,-3.5,E,,,,,0,,,,,,,,0,E,28.7,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.25,1998-02-25 00:00:00,AB,1998,2,25,-12.6,E,-18.8,E,-6.4,E,,,,,0,,,,,,,,0,E,30.6,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.26,1998-02-26 00:00:00,AB,1998,2,26,-10.1,E,-17,E,-3.1,E,,,,,0,,,,,,,,0,E,28.1,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.27,1998-02-27 00:00:00,AB,1998,2,27,-10.7,E,-17.9,E,-3.5,E,,,,,0,,,,,,,,0,E,28.7,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.2.28,1998-02-28 00:00:00,AB,1998,2,28,-12.6,E,-18.3,E,-6.8,E,,,,,0,,,,,,,,0,E,30.6,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.3.1,1998-03-01 00:00:00,AB,1998,3,1,-9,E,-14.9,E,-3.1,E,,,,,0,,,,,,,,0,E,27,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.3.2,1998-03-02 00:00:00,AB,1998,3,2,-5.5,E,-10.9,E,0,E,,,,,0,,,,,,,,0,E,23.5,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.3.3,1998-03-03 00:00:00,AB,1998,3,3,-6.7,E,-9.8,E,-3.5,E,,,,,0,,,,,,,,0,E,24.7,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.3.4,1998-03-04 00:00:00,AB,1998,3,4,-10.1,E,-14.9,E,-5.3,E,,,,,0,,,,,,,,0,E,28.1,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.3.5,1998-03-05 00:00:00,AB,1998,3,5,-11.6,E,-14.1,E,-9,E,,,,,0,,,,,,,,0,E,29.6,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.3.6,1998-03-06 00:00:00,AB,1998,3,6,-11.5,E,-17,E,-6,E,,,,,0,,,,,,,,0,E,29.5,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.3.7,1998-03-07 00:00:00,AB,1998,3,7,-13.7,E,-18.3,E,-9,E,,,,,0,,,,,,,,0,E,31.7,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.3.8,1998-03-08 00:00:00,AB,1998,3,8,-16.6,E,-20.7,E,-12.5,E,,,,,0,,,,,,,,0,E,34.6,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.3.9,1998-03-09 00:00:00,AB,1998,3,9,-12.9,E,-18.3,E,-7.5,E,,,,,0.8,E,,,,,,,0,E,30.9,E,,,,
-116.46666666666667,51.7,(AE) BOW SUMMIT,3050PPF,3050PPF.1998.3.10,1998-03-10 00:00:00,AB,1998,3,10,-13.4,E,-22.1,E,-4.6,E,,,,,0,,,,,,,,0,E,31.4,E,,,,
